StateAbb,CCode,StateNme,latitude,longitude
NAM,565,Namibia,-22.957640,18.490410
LES,570,Lesotho,-29.609988,28.233608
BOT,571,Botswana,-22.328474,24.684866
SWA,572,Swaziland,-26.522503,31.465866
MAG,580,Madagascar,-18.766947,46.869107
COM,581,Comoros,-11.875001,43.872219
MAS,590,Mauritius,-20.348404,57.552152
SEY,591,Seychelles,-4.679574,55.491977
MOR,600,Morocco,31.791702,-7.092620
ALG,615,Algeria,28.033886,1.659626
TUN,616,Tunisia,33.886917,9.537499
LIB,620,Libya,26.335100,17.228331
SUD,625,Sudan,3.919305,-56.027783
SSD,626,South Sudan,12.862807,30.217636
IRN,630,Iran,32.427908,53.688046
TUR,640,Turkey,38.963745,35.243322
IRQ,645,Iraq,33.223191,43.679291
EGY,651,Egypt,26.820553,30.802498
SYR,652,Syria,34.802075,38.996815
LEB,660,Lebanon,33.854721,35.862285
JOR,663,Jordan,30.585164,36.238414
ISR,666,Israel,31.046051,34.851612
SAU,670,Saudi Arabia,23.885942,45.079162
YAR,678,Yemen Arab Republic,15.552727,48.516388
YEM,679,Yemen,15.552727,48.516388
YPR,680,Yemen People's Republic,15.552727,48.516388
KUW,690,Kuwait,29.311660,47.481766
BAH,692,Bahrain,25.930414,50.637772
QAT,694,Qatar,25.354826,51.183884
UAE,696,United Arab Emirates,23.424076,53.847818
OMA,698,Oman,21.512583,55.923255
AFG,700,Afghanistan,33.939110,67.709953
TKM,701,Turkmenistan,38.969719,59.556278
TAJ,702,Tajikistan,38.861034,71.276093
KYR,703,Kyrgyzstan,41.204380,74.766098
UZB,704,Uzbekistan,41.377491,64.585262
KZK,705,Kazakhstan,48.019573,66.923684
CHN,710,China,35.861660,104.195397
MON,712,Mongolia,46.862496,103.846656
TAW,713,Taiwan,23.697810,120.960515
KOR,730,Korea,35.907800,127.766900
PRK,731,North Korea,40.339852,127.510093
ROK,732,South Korea,35.907757,127.766922
JPN,740,Japan,36.204824,138.252924
IND,750,India,20.593684,78.962880
BHU,760,Bhutan,27.514162,90.433601
PAK,770,Pakistan,30.375321,69.345116
BNG,771,Bangladesh,23.684994,90.356331
MYA,775,Myanmar,21.913965,95.956223
SRI,780,Sri Lanka,7.873054,80.771797
MAD,781,Maldives,3.202778,73.220680
NEP,790,Nepal,28.394857,84.124008
THI,800,Thailand,15.870032,100.992541
CAM,811,Cambodia,12.565679,104.990963
LAO,812,Laos,19.856270,102.495496
DRV,816,Vietnam,14.058324,108.277199
RVN,817,Republic of Vietnam,14.058900,108.277900
MAL,820,Malaysia,4.210484,101.975766
SIN,830,Singapore,1.352083,103.819836
BRU,835,Brunei,4.535277,114.727669
PHI,840,Philippines,12.879721,121.774017
INS,850,Indonesia,-0.789275,113.921327
ETM,860,East Timor,8.874200,125.727500
AUL,900,Australia,-25.274398,133.775136
PNG,910,Papua New Guinea,-6.314993,143.955550
NEW,920,New Zealand,-40.900557,174.885971
VAN,935,Vanuatu,-15.376706,166.959158
SOL,940,Solomon Islands,-9.645710,160.156194
KIR,946,Kiribati,-3.370417,-168.734039
TUV,947,Tuvalu,-7.109535,177.649330
FIJ,950,Fiji,-16.578193,179.414413
TON,955,Tonga,-21.178986,-175.198242
NAU,970,Nauru,-0.522778,166.931503
MSI,983,Marshall Islands,7.131474,171.184478
PAL,986,Palau,7.514980,134.582520
FSM,987,Federated States of Micronesia,7.425554,150.550812
WSM,990,Samoa,-13.759029,-172.104629
ASM,991,American Samoa,-14.270972,-170.132217
AGL,992,Anguilla,18.220554,-63.068615
ANT,993,Antarctica,-75.250973,-0.071389
ARU,994,Aruba,12.521110,-69.968338
BER,995,Bermuda,32.321384,-64.757370
BIO,996,British Indian Ocean Territory,-6.343194,71.876519
BOU,997,Bouvet Island,-54.423199,3.413194
BVI,998,British Virgin Islands,18.420695,-64.639968
CAY,999,Cayman Islands,19.513469,-80.566956
Chr,1000,Christmas Island,-10.447525,105.690449
Coc,1001,Cocos [Keeling] Islands,-12.164165,96.870956
Coo,1002,Cook Islands,-21.236736,-159.777671
COT,1003,Côte d'Ivoire,7.539989,-5.547080
Fal,1004,Falkland Islands [Islas Malvinas],-51.796253,-59.523613
Far,1005,Faroe Islands,61.892635,-6.911806
FGU,1006,French Guiana,3.933889,-53.125782
FPO,1007,French Polynesia,-17.679742,-149.406843
FST,1008,French Southern Territories,-49.280366,69.348557
Gaz,1009,Gaza Strip,31.354676,34.308825
Gib,1010,Gibraltar,36.137741,-5.345374
Gre,1011,Greenland,71.706936,-42.604303
GUD,1012,Guadeloupe,16.995971,-62.067641
Gue,1013,Guernsey,49.465691,-2.585278
GUM,1014,Guam,13.444304,144.793731
Hea,1015,Heard Island and McDonald Islands,-53.081810,73.504158
Hel,1016,Saint Helena,-24.143474,-10.030696
HKG,1017,Hong Kong,22.396428,114.109497
Isl,1018,Isle of Man,54.236107,-4.548056
Jer,1019,Jersey,49.214439,-2.131250
Mar,1020,Martinique,14.641528,-61.024174
May,1021,Mayotte,-12.827500,45.166244
MCU,1022,Macau,22.198745,113.543873
MOI,1023,U.S. Minor Outlying Islands,19.282300,166.647000
MST,1024,Montserrat,16.742498,-62.187366
NCa,1025,New Caledonia,-20.904305,165.618042
NFK,1026,Norfolk Island,-29.040835,167.954712
Niu,1027,Niue,-19.054445,-169.867233
NMA,1028,Northern Mariana Islands,17.330830,145.384690
Pat,1029,Palestinian Territories,31.952162,35.233154
Pie,1030,Saint Pierre and Miquelon,46.941936,-56.271110
Pit,1031,Pitcairn Islands,-24.703615,-127.439308
Pue,1032,Puerto Rico,18.220833,-66.590149
REU,1033,Réunion,-21.115141,55.536384
Ser,1034,Serbia,44.016521,21.005859
SGe,1035,South Georgia and the South Sandwich Islands,-54.429579,-36.587909
TCa,1036,Turks and Caicos Islands,21.694025,-71.797928
Tim,1037,Timor-Leste,-8.874217,125.727539
Tok,1038,Tokelau,-8.967363,-171.855881
UVi,1039,U.S. Virgin Islands,18.335765,-64.896335
Wal,1040,Wallis and Futuna,-13.768752,-177.156097
Wes,1041,Western Sahara,24.215527,-12.885834
